"year_day","created_by_id","premise_id","apartment_id","category_id","priority","performer_id","due_date_hours","assigned_hours","completed_hours"
289,51538,9834,2649821,16493,1,10100,,1457,2339
289,46935,61576,2617885,11173,3,8111,72,13,49
289,46935,9849,621346,11191,3,2419,,271,461
289,51538,61590,2613288,11170,3,9835,72,0,8
289,46935,61578,2754692,11173,3,8111,72,0,63
289,79656,9313,625209,11173,3,2442,72,0,20
289,79656,9345,625512,11173,3,2442,72,0,17
289,79656,9249,624973,11173,3,2442,72,0,12
289,79656,9288,627782,18944,3,2441,,0,16
289,46935,9763,618206,11169,3,9724,72,0,27
289,51538,9809,615868,11173,3,8111,72,0,98
289,51538,9899,616142,11173,3,8111,72,0,495
289,79656,9314,625542,11169,3,2434,72,0,1
289,89889,9771,617871,11189,1,9724,72,0,36
289,46935,61561,2617709,11173,3,8111,72,0,59
289,89889,9756,618531,11174,3,9684,72,0,173
289,79656,9197,625945,11173,3,2434,72,0,7
289,46935,9647,,11187,1,2419,2,0,15
289,79656,9240,626491,11173,3,2434,72,0,71
289,51538,9832,615015,11189,3,8111,72,0,468
289,79656,9345,625944,11173,3,2442,72,0,17
289,89889,9757,618412,11191,3,9724,,274,436
289,46935,9205,625228,18944,1,2441,72,0,15
289,51538,72148,2993072,11172,3,8111,72,0,464
289,46935,9205,626334,18944,1,2441,,0,14
289,46935,9249,627333,18944,1,2441,,0,12
289,46935,9750,619027,16680,1,9724,,0,340
289,51538,9800,616791,18144,1,8111,,0,7
289,46935,9196,628026,18944,1,2441,,0,13
289,79656,9313,626460,11173,3,2442,72,0,5
289,51538,9911,615821,11173,3,8111,72,0,683
289,46935,61568,2618015,16493,1,10100,,1736,2691
289,46935,9880,621190,11190,1,2419,72,0,6
289,79656,9296,627372,16680,1,2436,,0,53
289,46935,9846,618898,11173,3,9724,72,0,34
289,46935,61581,2617998,11173,3,8111,72,0,271
289,83617,9863,623641,12217,2,2419,,0,194
289,79656,9252,627908,11175,3,2434,72,0,2
289,46935,9666,623994,11173,3,2419,72,0,200
289,46935,9760,618351,11161,3,9684,72,0,79
289,46935,9320,627231,11173,3,2442,72,0,52
289,89889,9910,617887,11170,1,9724,,0,5
289,51538,9792,616944,11172,3,8111,72,0,14
289,46935,9252,626698,11172,3,2434,72,0,1
289,51538,9790,617091,11173,3,8111,72,0,493
289,46935,9883,621546,11190,1,2419,72,0,13
289,89889,9766,618026,11172,,9724,,0,927
289,78590,9824,615507,11162,3,2419,,2829,2947
289,46935,9750,619079,11170,3,9724,72,0,36
290,46935,83998,621539,11173,3,2419,72,0,33
290,46935,61563,2617755,11168,1,8111,72,0,15
290,79096,9841,614254,11174,3,2461,72,0,13
290,79096,9742,619320,11173,3,2607,72,0,31
290,79096,72148,2998858,11172,3,8111,72,0,450
290,90246,61560,2617684,11173,3,8111,72,0,55
290,90246,9868,623070,11169,3,2419,72,0,61
290,79656,9230,625937,11162,3,2434,72,0,28
290,79656,9350,627222,11173,3,2434,72,0,2
290,79656,9331,627301,11173,3,2442,72,0,5
290,79656,9296,628130,11173,,2434,,0,5
290,90246,61571,2617840,11173,3,8111,72,0,37
290,79096,9790,2634332,11173,3,8111,72,0,12
290,90246,9874,623097,11174,3,2419,72,0,486
290,79656,9320,626961,11173,3,2442,72,0,52
290,86978,40035,1264463,21535,2,8111,,0,453
290,90246,61568,2618034,11173,3,8111,72,0,215
290,79096,9809,615920,16680,1,9754,,358,675
290,79656,9249,624973,18944,1,2441,,0,3
290,22000,72148,2997242,11167,1,8197,24,0,452
290,79096,72148,2998872,17908,3,9811,,2807,3181
290,90246,9668,624076,11162,3,2419,72,0,26
290,45590,40034,1264209,11170,3,8111,72,0,512
290,89889,9752,618780,11170,3,9724,72,0,13
290,45590,9797,616898,11173,3,8111,72,0,451
290,90246,9647,,11172,3,2419,72,0,29
290,79656,9197,625926,11173,3,2434,72,0,1
290,79656,9315,626085,11173,3,2434,72,0,2
290,90246,9846,618916,11170,3,9724,72,0,12
290,90246,61580,2617935,18944,1,8111,,0,38
290,90246,9849,621346,11191,3,2419,,141,159
290,79096,72148,2963897,11173,3,8111,72,0,451
290,79656,9327,624961,16680,1,2436,,0,28
290,79096,9809,615915,11172,3,8111,72,0,174
290,90246,61560,2617690,11173,3,8111,72,0,76
290,45590,9653,623348,18944,1,2419,,0,1022
290,90246,9874,623100,17751,3,2419,,0,28
290,79656,9261,627622,11173,,2434,,0,3
290,89889,9757,,11189,1,9724,72,0,12
290,79096,9785,617241,11173,3,8111,72,0,35
290,79656,9318,627842,11173,3,2442,72,0,22
290,90246,9756,618508,11173,3,9724,72,0,12
290,79656,9331,628651,11173,3,2442,72,0,27
290,79656,9296,627963,11173,3,2434,72,0,4
290,90246,9651,622856,11173,3,2419,72,0,48
290,90246,61581,2617956,11173,3,8111,72,0,215
290,90246,9651,622859,17751,3,2419,,0,47
290,90246,9872,622918,11194,3,9754,72,0,11
290,89889,9766,618085,11152,3,9724,72,0,11
290,79096,9797,616879,11149,3,9754,72,0,28
290,79096,9907,614659,11170,3,8111,72,0,11
290,79656,9350,628580,11173,3,2434,72,0,2
290,79096,9902,616310,11172,3,8111,72,0,462
290,90246,9679,622370,11150,3,9754,72,0,28
290,90246,9866,622489,11173,3,2419,72,0,59
290,90246,9868,623024,11173,3,2419,72,0,11
290,79096,44010,2180698,11173,3,9835,72,0,29
290,82276,40034,1264265,17651,1,8111,,0,465
290,90246,9883,621542,11150,3,9754,72,0,28
290,90246,83998,621542,11150,3,9754,72,0,28
290,79656,9298,628607,11173,3,2442,72,0,46
